
========================================================================
                       optimization routine : 2
                     set of starting values : 1
========================================================================
theta2 starting values:
   -2.586421   -0.616377    0.227579   -0.715240   -0.990075
 
 Iteration   Func-count     min f(x)         Procedure
   171          297          220.537         contract inside
   172          299          220.537         contract inside
   173          301          220.537         contract outside
   174          308          220.537         shrink
   175          310          220.537         contract outside
   176          317          220.537         shrink
   177          324          220.537         shrink
   178          325          220.537         reflect
   179          332          220.537         shrink
   180          333          220.537         reflect
   181          334          220.537         reflect
   182          335          220.537         reflect
   183          342          220.537         shrink
   184          343          220.537         reflect
   185          344          220.537         reflect
   186          346          220.537         contract inside
   187          353          220.537         shrink
   188          354          220.537         reflect
   189          355          220.537         reflect
   190          357          220.537         contract inside
   191          358          220.537         reflect
   192          360          220.537         contract outside
   193          361          220.537         reflect
   194          362          220.537         reflect
   195          364          220.537         contract inside
   196          371          220.537         shrink
   197          373          220.537         contract inside
   198          374          220.537         reflect
